domain,jumlah_kasus,hack judol,hacked,pornografi,hack_judol,last_scan
tatibsi.mtsn1ae.sch.id,28,28,0,0,28,2025-11-03 03:30:15
unaki.ac.id,27,8,0,19,8,2025-11-09 05:30:47
undip.ac.id,25,0,2,0,0,2025-11-03 03:30:17
widyaagape.ac.id,15,0,0,0,0,2025-11-03 03:30:17
mandiri.uin-antasari.ac.id,14,14,0,0,14,2025-11-03 03:30:15
ui.ac.id,13,13,0,0,13,2025-11-04 11:14:24
siakad.politeknikaup.ac.id,10,10,0,0,10,2025-11-03 03:30:15
unissula.ac.id,8,0,3,0,0,2025-11-03 03:30:17
unand.ac.id,8,7,0,1,7,2025-11-02 13:27:06
smkmuhiku.sch.id,8,8,0,0,8,2025-11-03 03:30:15
opac.pap.ac.id,6,6,0,0,6,2025-11-03 03:30:15
elearning.pkbmalfatih.sch.id,6,6,0,0,6,2025-11-03 03:30:15
tamansiswabima.ac.id,6,6,0,0,6,2025-11-03 03:30:15
cbt.smansakita.sch.id,6,6,0,0,6,2025-11-03 03:30:15
repository.itbwigalumajang.ac.id,6,0,6,0,0,2025-11-03 03:30:15
dkm.ikipsiliwangi.ac.id,6,0,6,0,0,2025-11-03 03:30:15
un-sultra.ac.id,5,5,0,0,5,2025-11-03 03:30:15
www.ppdb.smpn2mertoyudan.sch.id,5,5,0,0,5,2025-11-03 03:30:15
sikma.ua.ac.id,4,4,0,0,4,2025-11-03 03:30:16
ejournal.stkipbudidaya.ac.id,4,4,0,0,4,2025-11-03 03:30:16
fkm.unand.ac.id,4,4,0,0,4,2025-11-03 03:30:16
www.stmik-tasikmalaya.ac.id,4,4,0,0,4,2025-11-03 03:30:16
www.stieparipurna.ac.id,4,4,0,0,4,2025-11-03 03:30:16
unwahas.ac.id,3,3,0,0,3,2025-11-09 05:45:04
ppdb.smanegeri3prabumulih.sch.id,3,3,0,0,3,2025-11-03 03:30:16
s3mp.fip.unesa.ac.id,3,0,3,0,0,2025-11-03 03:30:16
stiemkalianda.ac.id,3,3,0,0,3,2025-11-03 03:30:16
www.mtsn1trenggalek.sch.id,3,3,0,0,3,2025-11-03 03:30:16
www.sman2-magelang.sch.id,3,0,3,0,0,2025-11-03 03:30:16
cybercampus.uam.ac.id,3,3,0,0,3,2025-11-03 03:30:16
surat.uniga.ac.id,3,3,0,0,3,2025-11-03 03:30:16
mtsaljihadsalaman.sch.id,2,0,2,0,0,2025-11-03 03:30:17
narotama.ac.id,2,0,2,0,0,2025-11-03 03:30:16
www.sditasysyafii.sch.id,2,2,0,0,2,2025-11-03 03:30:16
sdnegeri4ubung.sch.id,2,2,0,0,2,2025-11-03 03:30:16
www.ukit.ac.id,2,2,0,0,2,2025-11-03 03:30:16
www.ptiq.ac.id,2,2,0,0,2,2025-11-03 03:30:16
www.lppm.staia.ac.id,2,2,0,0,2,2025-11-03 03:30:16
stp-bandung.ac.id,2,2,0,0,2,2025-11-03 03:30:16
www.sipenmaru.poltekkesjambi.ac.id,2,2,0,0,2,2025-11-03 03:30:16
jarvis.politeknikatk.ac.id,2,2,0,0,2,2025-11-03 03:30:16
smk3selong.sch.id,2,2,0,0,2,2025-11-03 03:30:16
www.fkip.unipas.ac.id,2,2,0,0,2,2025-11-03 03:30:16
islale.unimed.ac.id,2,2,0,0,2,2025-11-03 03:30:16
www.smp1cikidang.sch.id,2,2,0,0,2,2025-11-03 03:30:16
pradnya-paramita.ac.id,2,2,0,0,2,2025-11-03 03:30:16
jurnal.smk1kepil.sch.id,2,2,0,0,2,2025-11-03 03:30:16
ads.unsia.ac.id,2,2,0,0,2,2025-11-03 03:30:16
mtsn7solok.sch.id,2,2,0,0,2,2025-11-03 03:30:16
bfans18.site,1,0,0,1,0,2025-11-07 14:05:44
portalguruptsganjil2122.smpmuh36.sch.id,1,1,0,0,1,2025-11-03 03:30:16
permata.sch.id,1,1,0,0,1,2025-11-03 03:30:16
sisfoman.man1kotamalang.sch.id,1,1,0,0,1,2025-11-03 03:30:16
www.repository.iaingorontalo.ac.id,1,0,1,0,0,2025-11-03 03:30:17
tc.undip.ac.id,1,0,1,0,0,2025-11-03 03:30:17
ncahyati.staff.ugm.ac.id,1,0,1,0,0,2025-11-03 03:30:17
per-pustakaan.narotama.ac.id,1,0,1,0,0,2025-11-03 03:30:17
cdc.itpb.ac.id,1,0,1,0,0,2025-11-03 03:30:17
www.universitasmbojobima.ac.id,1,0,1,0,0,2025-11-03 03:30:16
poltekmi.ac.id,1,0,1,0,0,2025-11-03 03:30:16
kangpoer.staff.ugm.ac.id,1,1,0,0,1,2025-11-03 03:30:16
fia.unkris.ac.id,1,0,1,0,0,2025-11-03 03:30:16
lib.fisip.unigal.ac.id,1,0,1,0,0,2025-11-03 03:30:16
tisyani.staf.narotama.ac.id,1,0,1,0,0,2025-11-03 03:30:16
pasca.uns.ac.id,1,0,1,0,0,2025-11-03 03:30:16
digilib.mahadalyassunniyyah.ac.id,1,0,1,0,0,2025-11-03 03:30:16
pmb.narotama.ac.id,1,0,1,0,0,2025-11-03 03:30:16
agusslamet.staf.narotama.ac.id,1,0,1,0,0,2025-11-03 03:30:16
fikes.unimma.ac.id,1,0,1,0,0,2025-11-03 03:30:16
elibrary.bsi.ac.id,1,0,1,0,0,2025-11-03 03:30:16
www.mtsnegeri1labuhanbatu.sch.id,1,0,1,0,0,2025-11-03 03:30:16
smkspgri-batang.sch.id,1,0,1,0,0,2025-11-03 03:30:16
sdnbeji4depok.sch.id,1,0,1,0,0,2025-11-03 03:30:16
pmc.unhas.ac.id,1,0,1,0,0,2025-11-03 03:30:16
jibas.sman13depok.sch.id,1,1,0,0,1,2025-11-03 03:30:16
man1bogor.sch.id,1,1,0,0,1,2025-11-03 03:30:16
pmb-pasca.uin-antasari.ac.id,1,1,0,0,1,2025-11-03 03:30:16
learning.mamodernalazhary.sch.id,1,1,0,0,1,2025-11-03 03:30:16
