domain,jumlah_kasus,hack judol,hacked,pornografi,hack_judol,last_scan
cahayabangsa.sch.id,42,0.0,0,42,0,2025-09-03 14:48:28
tatibsi.mtsn1ae.sch.id,28,28.0,0,0,0,2025-09-03 14:48:28
mandiri.uin-antasari.ac.id,14,14.0,0,0,0,2025-09-03 14:48:28
siakad.politeknikaup.ac.id,10,10.0,0,0,0,2025-09-03 14:48:28
smkmuhiku.sch.id,8,8.0,0,0,0,2025-09-03 14:48:28
elearning.pkbmalfatih.sch.id,6,6.0,0,0,0,2025-09-03 14:48:28
cbt.smansakita.sch.id,6,6.0,0,0,0,2025-09-03 14:48:28
opac.pap.ac.id,6,6.0,0,0,0,2025-09-03 14:48:28
dkm.ikipsiliwangi.ac.id,6,0.0,6,0,0,2025-09-03 14:48:28
repository.itbwigalumajang.ac.id,6,0.0,6,0,0,2025-09-03 14:48:28
tamansiswabima.ac.id,6,6.0,0,0,0,2025-09-03 14:48:28
www.ppdb.smpn2mertoyudan.sch.id,5,5.0,0,0,0,2025-09-03 14:48:28
un-sultra.ac.id,5,5.0,0,0,0,2025-09-03 14:48:28
fkm.unand.ac.id,4,4.0,0,0,0,2025-09-03 14:48:28
ejournal.stkipbudidaya.ac.id,4,4.0,0,0,0,2025-09-03 14:48:28
www.stmik-tasikmalaya.ac.id,4,4.0,0,0,0,2025-09-03 14:48:28
sikma.ua.ac.id,4,4.0,0,0,0,2025-09-03 14:48:28
www.stieparipurna.ac.id,4,4.0,0,0,0,2025-09-03 14:48:28
www.mtsn1trenggalek.sch.id,3,3.0,0,0,0,2025-09-03 14:48:28
www.sman2-magelang.sch.id,3,0.0,3,0,0,2025-09-03 14:48:28
s3mp.fip.unesa.ac.id,3,0.0,3,0,0,2025-09-03 14:48:28
surat.uniga.ac.id,3,3.0,0,0,0,2025-09-03 14:48:28
cybercampus.uam.ac.id,3,3.0,0,0,0,2025-09-03 14:48:28
ppdb.smanegeri3prabumulih.sch.id,3,3.0,0,0,0,2025-09-03 14:48:28
stiemkalianda.ac.id,3,3.0,0,0,0,2025-09-03 14:48:28
www.sditasysyafii.sch.id,2,2.0,0,0,0,2025-09-03 14:48:28
mtsn7solok.sch.id,2,2.0,0,0,0,2025-09-03 14:48:28
ads.unsia.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
www.smp1cikidang.sch.id,2,2.0,0,0,0,2025-09-03 14:48:28
jurnal.smk1kepil.sch.id,2,2.0,0,0,0,2025-09-03 14:48:28
pradnya-paramita.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
www.ptiq.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
islale.unimed.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
www.lppm.staia.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
smk3selong.sch.id,2,2.0,0,0,0,2025-09-03 14:48:28
sdnegeri4ubung.sch.id,2,2.0,0,0,0,2025-09-03 14:48:28
www.sipenmaru.poltekkesjambi.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
stp-bandung.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
jarvis.politeknikatk.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
www.fkip.unipas.ac.id,2,2.0,0,0,0,2025-09-03 14:48:28
narotama.ac.id,2,0.0,2,0,0,2025-09-03 14:48:28
